ID,Name,Sex,Group_rank,Birthdate,Focal_date,Age,Age_class,Breeding_status,Group_name,Season,Group_size,Playing strength,Allopreening strength,Proximal foraging strength,Scrounging outstrength,Scrounging instrength,Dominance display outstrength,Dominance display instrength,Allofeeding outstrength,Allofeeding instrength
5384,SZTL,Male,1,14/03/2013,05/10/2018,2031,Adult,Parent,ARU,Autumn,10,1,26,117,12,18,18,0,19,0
5420,HLAT,Female,2,01/05/2013,05/10/2018,1983,Adult,Parent,ARU,Autumn,10,2,25,144,2,8,0,3,18,2
5862,LATZ,Male,3,07/06/2016,05/10/2018,850,Adult,Helper,ARU,Autumn,10,5,29,210,4,42,13,0,20,0
5966,ATPV,Male,4,30/06/2017,05/10/2018,462,Adult,Helper,ARU,Autumn,10,18,32,220,6,53,6,0,26,2
5965,CSTP,Male,5,30/06/2017,05/10/2018,462,Adult,Helper,ARU,Autumn,10,18,44,161,7,28,4,2,12,5
6046,PSCT,Female,6,27/04/2018,05/10/2018,161,Fledgling,Helper,ARU,Autumn,10,48,39,216,6,31,1,4,20,2
6120,XXXX,Male,7,27/04/2018,05/10/2018,161,Fledgling,Helper,ARU,Autumn,10,49,36,151,16,10,11,6,2,4
5384,SZTL,Male,1,14/03/2013,17/12/2018,2104,Adult,Parent,ARU,Winter,6,0,35,72,7,11,3,0,9,0
5420,HLAT,Female,2,01/05/2013,17/12/2018,2056,Adult,Parent,ARU,Winter,6,1,38,72,4,9,0,3,4,5
5862,LATZ,Male,3,07/06/2016,17/12/2018,923,Adult,Helper,ARU,Winter,6,6,38,97,10,8,1,0,8,1
5966,ATPV,Male,4,30/06/2017,17/12/2018,535,Adult,Helper,ARU,Winter,6,15,29,95,10,18,0,1,3,4
5965,CSTP,Male,5,30/06/2017,17/12/2018,535,Adult,Helper,ARU,Winter,6,12,37,93,15,5,0,0,1,4
6046,PSCT,Female,6,27/04/2018,17/12/2018,234,Fledgling,Helper,ARU,Winter,6,14,33,137,18,13,0,0,0,11
5712,CATC,Male,1,01/05/2015,08/11/2019,1652,Adult,Parent,BER,Autumn,9,0,38,89,2,13,15,2,2,0
5755,SPAT,Female,2,15/06/2015,08/11/2019,2207,Adult,Parent,BER,Autumn,9,0,34,51,0,21,2,1,0,1
6006,LPTS,Female,3,09/03/2018,08/11/2019,609,Adult,Helper,BER,Autumn,9,44,37,115,11,19,10,4,8,0
6004,TVLL,Female,4,09/03/2018,08/11/2019,609,Adult,Helper,BER,Autumn,9,35,38,118,14,24,2,2,10,0
6172,CCTV,Male,5,10/03/2019,08/11/2019,243,Fledgling,Helper,BER,Autumn,9,33,37,146,27,11,8,7,2,7
6174,ZTSA,Male,6,10/03/2019,08/11/2019,243,Fledgling,Helper,BER,Autumn,9,52,26,120,10,13,1,6,0,3
6175,SCZT,Female,7,10/03/2019,08/11/2019,243,Fledgling,Helper,BER,Autumn,9,47,31,138,16,3,2,5,0,3
6173,THCP,Female,8,10/03/2019,08/11/2019,243,Fledgling,Helper,BER,Autumn,9,39,33,118,17,10,0,9,1,7
6224,CTAZ,Female,9,08/05/2019,08/11/2019,184,Fledgling,Helper,BER,Autumn,9,30,36,123,20,3,0,4,0,2
5712,CATC,Male,1,01/05/2015,13/01/2020,1718,Adult,Parent,BER,Winter,9,0,25,324,1,0,0,0,3,0
5755,SPAT,Female,2,15/06/2015,13/01/2020,2273,Adult,Parent,BER,Winter,9,0,23,309,0,5,1,0,0,0
6006,LPTS,Female,3,09/03/2018,13/01/2020,675,Adult,Helper,BER,Winter,9,0,12,454,2,3,3,0,2,0
6004,TVLL,Female,4,09/03/2018,13/01/2020,675,Adult,Helper,BER,Winter,9,0,24,438,0,4,2,0,1,0
6172,CCTV,Male,5,10/03/2019,13/01/2020,309,Adult,Helper,BER,Winter,9,0,22,507,8,0,2,5,0,0
6174,ZTSA,Male,6,10/03/2019,13/01/2020,309,Adult,Helper,BER,Winter,9,0,9,447,5,4,0,1,1,1
6175,SCZT,Female,7,10/03/2019,13/01/2020,309,Adult,Helper,BER,Winter,9,0,19,467,6,1,5,2,0,1
6173,THCP,Female,8,10/03/2019,13/01/2020,309,Adult,Helper,BER,Winter,9,0,17,461,2,5,0,4,0,5
6224,CTAZ,Female,9,08/05/2019,13/01/2020,250,Fledgling,Helper,BER,Winter,9,0,19,459,1,3,0,1,0,0
5616,ATLA,Male,1,17/09/2014,05/11/2018,1510,Adult,Parent,BOR,Autumn,6,0,63,135,2,10,4,0,1,1
5409,SLAT,Female,2,24/04/2013,05/11/2018,2021,Adult,Parent,BOR,Autumn,6,0,74,169,6,12,1,1,3,1
5880,TVPP,Female,3,08/06/2016,05/11/2018,880,Adult,Helper,BOR,Autumn,6,0,50,159,4,11,3,2,0,0
6048,AZPT,Male,4,16/05/2018,05/11/2018,173,Fledgling,Helper,BOR,Autumn,6,43,68,259,17,18,11,2,2,1
6050,THCA,Female,5,16/05/2018,05/11/2018,173,Fledgling,Helper,BOR,Autumn,6,45,78,256,19,12,1,13,0,0
5616,ATLA,Male,1,17/09/2014,12/11/2019,1882,Adult,Parent,BOR,Autumn,8,0,74,237,3,24,18,0,3,0
5409,SLAT,Female,2,24/04/2013,12/11/2019,1717,Adult,Parent,BOR,Autumn,8,0,80,216,6,10,1,3,0,3
6048,AZPT,Male,3,16/05/2018,12/11/2019,553,Adult,Helper,BOR,Autumn,8,30,62,323,8,38,16,2,13,0
6200,TLVV,Female,4,10/04/2019,12/11/2019,216,Fledgling,Helper,BOR,Autumn,8,52,64,323,20,10,6,10,3,2
6202,CCTS,Male,5,10/04/2019,12/11/2019,216,Fledgling,Helper,BOR,Autumn,8,53,48,379,22,10,13,11,8,4
6233,STSC,Female,6,22/05/2019,12/11/2019,174,Fledgling,Helper,BOR,Autumn,8,34,54,372,38,12,13,15,2,1
6232,THHZ,Female,7,22/05/2019,12/11/2019,174,Fledgling,Helper,BOR,Autumn,8,53,62,428,29,25,13,16,0,3
6231,LPZT,Female,8,22/05/2019,12/11/2019,174,Fledgling,Helper,BOR,Autumn,8,34,42,294,15,12,0,23,0,16
5616,ATLA,Male,1,17/09/2014,27/01/2020,1958,Adult,Parent,BOR,Winter,7,7,67,184,1,6,2,0,3,0
5409,SLAT,Female,2,24/04/2013,27/01/2020,1793,Adult,Parent,BOR,Winter,7,0,37,226,1,5,0,1,1,2
6048,AZPT,Male,3,16/05/2018,27/01/2020,629,Adult,Helper,BOR,Winter,7,23,67,304,8,10,2,0,1,0
6200,TLVV,Female,4,10/04/2019,27/01/2020,292,Fledgling,Helper,BOR,Winter,7,18,41,285,6,3,0,1,0,1
6202,CCTS,Male,5,10/04/2019,27/01/2020,292,Fledgling,Helper,BOR,Winter,7,21,44,303,11,6,4,1,0,0
6232,THHZ,Female,6,22/05/2019,27/01/2020,250,Fledgling,Helper,BOR,Winter,7,20,48,321,15,7,5,4,0,2
6231,LPZT,Female,7,22/05/2019,27/01/2020,250,Fledgling,Helper,BOR,Winter,7,21,42,303,6,11,0,6,0,0
5135,CPLT,Male,1,17/05/2010,05/11/2018,3094,Adult,Parent,HIL,Autumn,7,0,11,143,1,4,0,0,0,0
5455,TVAP,Female,2,27/06/2013,05/11/2018,1957,Adult,Parent,HIL,Autumn,7,0,6,171,0,7,0,0,1,0
5976,LVTV,Female,3,22/06/2017,05/11/2018,501,Adult,Helper,HIL,Autumn,7,7,10,147,1,3,2,0,0,0
5977,PTZC,Female,4,22/06/2017,05/11/2018,501,Adult,Helper,HIL,Autumn,7,7,13,176,4,6,4,0,0,0
6039,AHHT,Female,5,30/03/2018,05/11/2018,220,Fledgling,Helper,HIL,Autumn,7,15,16,179,12,4,5,4,0,0
6053,VLTA,Male,6,31/05/2018,05/11/2018,158,Fledgling,Helper,HIL,Autumn,7,8,2,189,11,4,1,6,0,1
6054,HVCT,Male,7,31/05/2018,05/11/2018,158,Fledgling,Helper,HIL,Autumn,7,9,12,199,2,3,0,2,0,0
5486,HAZT,Male,1,29/10/2013,11/02/2018,2166,Adult,Parent,HVR,Winter,10,0,14,152,14,1,8,1,1,1
4779,SSTH,Female,2,14/06/2004,11/02/2018,4990,Adult,Parent,HVR,Winter,10,0,12,227,13,18,18,4,1,0
5899,ZTCP,Male,3,20/09/2016,11/02/2018,509,Adult,Helper,HVR,Winter,10,4,16,188,1,6,4,2,4,0
5395,TSPV,Female,4,01/01/2013,11/02/2018,1867,Adult,Helper,HVR,Winter,10,0,20,162,1,7,3,1,4,2
5470,PVTS,Female,5,14/07/2013,11/02/2018,1673,Adult,Helper,HVR,Winter,10,0,16,175,4,6,4,1,2,1
5780,LZPT,Female,6,01/01/2015,11/02/2018,1137,Adult,Helper,HVR,Winter,10,6,19,198,6,7,2,6,7,1
5898,PHVT,Female,7,20/09/2016,11/02/2018,509,Adult,Helper,HVR,Winter,10,4,26,218,6,6,1,10,4,1
5942,CTVC,Male,8,09/05/2017,11/02/2018,278,Fledgling,Helper,HVR,Winter,10,9,8,205,23,8,9,9,1,4
5943,TPCZ,Male,9,09/05/2017,11/02/2018,278,Fledgling,Helper,HVR,Winter,10,11,28,162,5,7,1,10,0,8
5979,TAZL,Male,10,30/06/2017,11/02/2018,226,Fledgling,Helper,HVR,Winter,10,10,27,183,1,8,1,7,0,6
5666,APLT,Male,1,11/04/2015,01/12/2019,1695,Adult,Parent,KOT,Winter,9,0,22,228,2,10,22,0,5,0
5720,ATPZ,Female,2,01/05/2015,01/12/2019,2275,Adult,Parent,KOT,Winter,9,0,33,502,5,38,1,14,6,5
5985,SCTL,Male,3,28/07/2017,01/12/2019,856,Adult,Helper,KOT,Winter,9,22,30,552,4,35,16,3,5,0
6151,HLTS,Female,4,01/03/2019,01/12/2019,275,Fledgling,Helper,KOT,Winter,9,37,21,595,14,18,14,5,5,0
6152,TCCV,Male,5,01/03/2019,01/12/2019,275,Fledgling,Helper,KOT,Winter,9,40,32,605,21,4,3,10,2,3
6153,THCC,Male,6,01/03/2019,01/12/2019,275,Fledgling,Helper,KOT,Winter,9,37,26,648,9,6,6,10,1,1
6251,TSSV,Male,9,16/06/2019,01/12/2019,168,Fledgling,Helper,KOT,Winter,9,34,31,635,25,18,0,8,0,11
6252,ZLTZ,Female,7,16/06/2019,01/12/2019,168,Fledgling,Helper,KOT,Winter,9,38,17,624,40,11,5,9,0,1
6253,XKOT,Male,8,16/06/2019,01/12/2019,168,Fledgling,Helper,KOT,Winter,9,36,6,511,21,1,4,12,0,3
5666,APLT,Male,1,11/04/2015,01/12/2019,1695,Adult,Parent,KOT,Winter,6,0,0,69,2,6,6,0,0,0
5720,ATPZ,Female,2,01/05/2015,01/12/2019,2275,Adult,Parent,KOT,Winter,6,0,7,121,1,11,1,3,1,0
6151,HLTS,Female,3,01/03/2019,01/12/2019,275,Fledgling,Helper,KOT,Winter,6,2,5,148,7,3,0,1,0,0
6152,TCCV,Male,4,01/03/2019,01/12/2019,275,Fledgling,Helper,KOT,Winter,6,2,10,152,5,1,0,1,1,0
6251,TSSV,Male,5,16/06/2019,01/12/2019,168,Fledgling,Helper,KOT,Winter,6,1,6,138,12,1,0,2,2,2
6252,ZLTZ,Female,6,16/06/2019,01/12/2019,168,Fledgling,Helper,KOT,Winter,6,1,6,130,1,6,0,0,0,2
5434,AZTZ,Male,1,30/05/2013,22/10/2018,1971,Adult,Parent,NIS,Autumn,11,0,54,212,2,26,25,0,1,0
5278,ATVL,Female,2,18/06/2011,22/10/2018,2683,Adult,Parent,NIS,Autumn,11,0,59,193,1,8,0,0,1,0
5816,LPPT,Male,3,01/03/2016,22/10/2018,965,Adult,Helper,NIS,Autumn,11,26,73,212,6,23,7,0,3,0
5818,SVLT,Male,4,01/03/2016,22/10/2018,965,Adult,Helper,NIS,Autumn,11,33,95,252,14,23,1,9,1,1
5831,SATC,Male,5,28/04/2016,22/10/2018,907,Adult,Helper,NIS,Autumn,11,44,111,279,3,13,7,1,3,0
5974,CHVT,Female,6,05/07/2017,22/10/2018,474,Adult,Helper,NIS,Autumn,11,83,74,232,0,10,1,3,5,2
6010,HSCT,Male,7,21/03/2018,22/10/2018,215,Fledgling,Helper,NIS,Autumn,11,94,89,321,41,4,11,15,1,1
6009,THVP,Male,8,21/03/2018,22/10/2018,215,Fledgling,Helper,NIS,Autumn,11,123,82,349,23,8,5,8,1,0
6082,PCAT,Male,9,08/06/2018,22/10/2018,136,Fledgling,Helper,NIS,Autumn,11,102,55,323,18,5,3,9,1,4
6086,ZHTL,Female,10,08/06/2018,22/10/2018,136,Fledgling,Helper,NIS,Autumn,11,111,53,278,16,5,3,9,2,7
6083,LTZH,Female,11,08/06/2018,22/10/2018,136,Fledgling,Helper,NIS,Autumn,11,98,33,315,6,5,0,9,0,4
5434,AZTZ,Male,1,30/05/2013,07/10/2019,2321,Adult,Parent,NIS,Autumn,15,2,39,561,5,26,49,1,2,0
5278,ATVL,Female,2,18/06/2011,07/10/2019,3033,Adult,Parent,NIS,Autumn,15,0,31,338,0,4,1,2,1,0
5818,SVLT,Male,3,01/03/2016,07/10/2019,1315,Adult,Helper,NIS,Autumn,15,5,100,517,4,15,25,2,0,0
6009,THVP,Male,5,21/03/2018,07/10/2019,566,Adult,Helper,NIS,Autumn,15,62,49,621,3,14,8,8,2,0
6010,HSCT,Male,4,21/03/2018,07/10/2019,566,Adult,Helper,NIS,Autumn,15,73,53,713,10,16,20,5,4,1
6086,ZHTL,Female,6,08/06/2018,07/10/2019,486,Adult,Helper,NIS,Autumn,15,84,36,645,11,10,12,12,8,1
6136,TZAH,Male,7,03/01/2019,07/10/2019,277,Fledgling,Helper,NIS,Autumn,15,50,46,759,17,2,31,3,0,0
6138,AVHT,Female,8,03/01/2019,07/10/2019,277,Fledgling,Helper,NIS,Autumn,15,62,63,607,5,2,5,3,1,2
6135,VCST,Female,9,03/01/2019,07/10/2019,277,Fledgling,Helper,NIS,Autumn,15,95,49,492,12,9,1,9,2,2
6161,PTAC,Male,11,10/03/2019,07/10/2019,211,Fledgling,Helper,NIS,Autumn,15,55,23,636,8,5,4,15,0,1
6163,TVCZ,Male,12,10/03/2019,07/10/2019,211,Fledgling,Helper,NIS,Autumn,15,55,50,698,17,8,8,22,0,3
6164,LSTH,Male,10,10/03/2019,07/10/2019,211,Fledgling,Helper,NIS,Autumn,15,63,28,585,10,5,9,8,0,0
6222,TPPA,Female,14,15/05/2019,07/10/2019,145,Fledgling,Helper,NIS,Autumn,15,61,50,462,5,5,2,13,0,6
6218,TSVA,Male,13,15/05/2019,07/10/2019,145,Fledgling,Helper,NIS,Autumn,15,49,32,700,32,12,10,62,1,4
6221,VPZT,Female,15,15/05/2019,07/10/2019,145,Fledgling,Helper,NIS,Autumn,15,44,39,504,2,8,0,20,0,1
5434,AZTZ,Male,1,30/05/2013,24/12/2019,2399,Adult,Parent,NIS,Winter,14,0,36,498,1,5,8,0,3,0
5278,ATVL,Female,2,18/06/2011,24/12/2019,3111,Adult,Parent,NIS,Winter,14,0,25,496,0,12,2,1,1,0
5818,SVLT,Male,3,01/03/2016,24/12/2019,1393,Adult,Helper,NIS,Winter,14,0,22,491,6,1,5,0,0,0
6009,THVP,Male,5,21/03/2018,24/12/2019,644,Adult,Helper,NIS,Winter,14,1,18,678,6,3,9,0,0,0
6010,HSCT,Male,4,21/03/2018,24/12/2019,644,Adult,Helper,NIS,Winter,14,0,28,630,7,4,5,1,0,0
6136,TZAH,Male,6,03/01/2019,24/12/2019,355,Adult,Helper,NIS,Winter,14,3,38,579,10,2,16,4,0,0
6138,AVHT,Female,7,03/01/2019,24/12/2019,355,Adult,Helper,NIS,Winter,14,0,34,691,6,2,6,4,0,0
6135,VCST,Female,8,03/01/2019,24/12/2019,355,Adult,Helper,NIS,Winter,14,4,42,583,3,4,5,7,0,0
6161,PTAC,Male,10,10/03/2019,24/12/2019,289,Fledgling,Helper,NIS,Winter,14,0,38,684,6,6,8,7,0,0
6163,TVCZ,Male,11,10/03/2019,24/12/2019,289,Fledgling,Helper,NIS,Winter,14,0,22,636,5,12,2,13,0,1
6164,LSTH,Male,9,10/03/2019,24/12/2019,289,Fledgling,Helper,NIS,Winter,14,1,26,520,1,6,3,5,0,1
6222,TPPA,Female,14,15/05/2019,24/12/2019,223,Fledgling,Helper,NIS,Winter,14,2,17,456,0,1,0,11,0,3
6218,TSVA,Male,12,15/05/2019,24/12/2019,223,Fledgling,Helper,NIS,Winter,14,0,13,648,8,5,6,18,2,0
6221,VPZT,Female,13,15/05/2019,24/12/2019,223,Fledgling,Helper,NIS,Winter,14,1,33,554,5,1,3,7,0,1
5580,GVGT,Male,1,22/06/2014,21/11/2018,1613,Adult,Parent,THG,Autumn,6,7,20,104,3,7,13,0,5,0
5474,THVG,Female,2,16/07/2013,21/11/2018,1954,Adult,Parent,THG,Autumn,6,23,39,178,13,34,0,12,1,5
6079,LZHT,Female,3,08/06/2018,21/11/2018,166,Fledgling,Helper,THG,Autumn,6,127,47,251,31,11,8,1,9,0
6078,TACP,Male,4,08/06/2018,21/11/2018,166,Fledgling,Helper,THG,Autumn,6,121,39,256,21,11,6,6,0,5
6081,SATL,Male,5,08/06/2018,21/11/2018,166,Fledgling,Helper,THG,Autumn,6,93,43,254,10,18,1,4,0,1
6080,TCAV,Female,6,08/06/2018,21/11/2018,166,Fledgling,Helper,THG,Autumn,6,117,30,265,19,16,1,6,0,4
5580,GVGT,Male,1,22/06/2014,04/01/2019,1657,Adult,Parent,THG,Winter,6,0,3,64,2,6,2,0,0,0
5474,THVG,Female,2,16/07/2013,04/01/2019,1998,Adult,Parent,THG,Winter,6,0,2,56,0,4,0,1,0,0
6079,LZHT,Female,3,08/06/2018,04/01/2019,210,Fledgling,Helper,THG,Winter,6,12,2,100,13,4,9,0,0,0
6078,TACP,Male,4,08/06/2018,04/01/2019,210,Fledgling,Helper,THG,Winter,6,7,1,82,6,8,5,7,0,0
6081,SATL,Male,5,08/06/2018,04/01/2019,210,Fledgling,Helper,THG,Winter,6,13,2,102,4,7,0,8,0,0
6080,TCAV,Female,6,08/06/2018,04/01/2019,210,Fledgling,Helper,THG,Winter,6,14,2,94,7,3,2,2,0,0
5580,GVGT,Male,1,22/06/2014,25/10/2019,1951,Adult,Parent,THG,Autumn,10,13,27,228,2,11,25,0,4,0
5474,THVG,Female,2,16/07/2013,25/10/2019,2292,Adult,Parent,THG,Autumn,10,2,11,337,1,21,0,16,1,2
6081,SATL,Male,3,08/06/2018,25/10/2019,504,Adult,Helper,THG,Autumn,10,78,29,495,8,9,3,0,6,1
6079,LZHT,Female,4,08/06/2018,25/10/2019,504,Adult,Helper,THG,Autumn,10,83,38,448,11,31,15,1,6,0
6078,TACP,Male,5,08/06/2018,25/10/2019,504,Adult,Helper,THG,Autumn,10,79,39,487,15,23,6,5,0,0
6080,TCAV,Female,6,08/06/2018,25/10/2019,504,Adult,Helper,THG,Autumn,10,27,30,451,8,21,1,2,1,0
6169,TPZA,Female,7,10/03/2019,25/10/2019,229,Fledgling,Helper,THG,Autumn,10,110,28,501,38,6,1,5,4,4
6171,PZTS,Female,8,10/03/2019,25/10/2019,229,Fledgling,Helper,THG,Autumn,10,69,22,465,19,15,1,5,2,3
6170,VTSC,Female,9,10/03/2019,25/10/2019,229,Fledgling,Helper,THG,Autumn,10,100,28,443,32,13,0,7,0,3
6234,CVTV,Female,10,29/05/2019,25/10/2019,149,Fledgling,Helper,THG,Autumn,10,105,12,471,29,13,0,11,0,11
5580,GVGT,Male,1,22/06/2014,07/01/2020,2025,Adult,Parent,THG,Winter,10,0,45,262,1,13,17,0,3,0
5474,THVG,Female,2,16/07/2013,07/01/2020,2366,Adult,Parent,THG,Winter,10,0,9,318,0,2,0,7,0,0
6081,SATL,Male,3,08/06/2018,07/01/2020,578,Adult,Helper,THG,Winter,10,0,29,453,5,4,5,2,0,0
6079,LZHT,Female,4,08/06/2018,07/01/2020,578,Adult,Helper,THG,Winter,10,0,12,380,2,1,0,5,0,0
6078,TACP,Male,5,08/06/2018,07/01/2020,578,Adult,Helper,THG,Winter,10,0,42,352,8,6,6,2,0,0
6080,TCAV,Female,6,08/06/2018,07/01/2020,578,Adult,Helper,THG,Winter,10,0,2,378,3,3,0,4,0,1
6169,TPZA,Female,7,10/03/2019,07/01/2020,303,Adult,Helper,THG,Winter,10,1,3,479,6,9,1,3,0,1
6171,PZTS,Female,8,10/03/2019,07/01/2020,303,Adult,Helper,THG,Winter,10,1,5,435,3,3,2,3,0,0
6170,VTSC,Female,9,10/03/2019,07/01/2020,303,Adult,Helper,THG,Winter,10,2,8,420,13,6,1,6,0,2
6234,CVTV,Female,10,29/05/2019,07/01/2020,223,Fledgling,Helper,THG,Winter,10,2,37,383,9,3,1,1,1,0
5425,TAGC,Male,1,02/05/2013,16/12/2017,1689,Adult,Parent,ZEV,Winter,8,0,25,142,6,3,7,0,2,0
5804,PATZ,Female,2,15/11/2015,16/12/2017,1362,Adult,Parent,ZEV,Winter,8,0,20,114,1,12,8,5,8,1
5893,HTCS,Male,3,01/07/2016,16/12/2017,533,Adult,Helper,ZEV,Winter,8,22,18,177,9,5,9,1,6,1
5894,ZVTL,Female,4,01/07/2016,16/12/2017,533,Adult,Helper,ZEV,Winter,8,13,35,137,5,5,0,6,2,4
5896,TSHC,Female,5,01/07/2016,16/12/2017,533,Adult,Helper,ZEV,Winter,8,12,30,155,4,15,4,9,8,5
5931,SLPT,Male,6,30/04/2017,16/12/2017,230,Fledgling,Helper,ZEV,Winter,8,25,36,192,13,2,8,4,1,5
5932,THHV,Female,7,30/04/2017,16/12/2017,230,Fledgling,Helper,ZEV,Winter,8,10,23,163,5,2,5,3,0,5
5930,HZTS,Female,8,30/04/2017,16/12/2017,230,Fledgling,Helper,ZEV,Winter,8,10,27,134,7,6,0,13,0,6
