id,status,gsi,condition,courtship,foraging,digging,weight,SL,cortisol,testosterone
1,DOM,0.954446855,0.614666667,21,1,0,4.61,7.5,-0.313134124,NA
2,DOM,0.719298246,0.7125,9,0,3,5.7,8,-0.153761332,38.91057618
3,DOM,0.601503759,0.690909091,5,0,0,5.32,7.7,-0.355678818,65.84703303
4,SUB,0.81799591,0.635064935,0,9,0,4.89,7.7,-0.013563929,26.3828121
5,SUB,0.723140496,0.645333333,0,0,0,4.84,7.5,0.109689222,26.84617018
6,SUB,0.36036036,0.730263158,1,0,0,5.55,7.6,-0.804840697,8.569139494
7,SUB,1.154639175,0.646666667,0,2,0,4.85,7.5,NA,18.86872169
8,SUB,0.74,0.666666667,2,10,0,5,7.5,-0.285780296,5.018600697
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,DOM,1.141199226,0.680263158,10,10,2,5.17,7.6,-0.305746277,NA
11,DOM,0.752475248,0.655844156,21,0,4,5.05,7.7,-0.401347569,17.4464515
12,DOM,0.961145194,0.660810811,13,10,0,4.89,7.4,0.042510511,19.25576316
13,DOM,1.030042918,0.62972973,2,1,0,4.66,7.4,-0.008336887,9.221213537
14,SUB,0.740659341,0.623287671,0,0,0,4.55,7.3,-0.485233437,NA
15,SUB,0.68762279,0.678666667,0,0,0,5.09,7.5,-0.208336938,7.636340706
16,SUB,0.376344086,0.734210526,0,0,0,5.58,7.6,0.025135767,20.03693218
17,SUB,0.824468085,0.56969697,0,2,0,3.76,6.6,0.06544384,10.06163994
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,DOM,0.92936803,1.204477612,15,0,10,8.07,6.7,-0.376550069,24.27910977
20,DOM,1.271551724,1.054545455,10,26,0,6.96,6.6,-0.105222481,21.52200217
21,DOM,0.392105263,1.225806452,22,0,0,7.6,6.2,-0.290914166,29.87938986
22,DOM,0.539705882,1.079365079,35,0,0,6.8,6.3,-0.591401126,18.25822129
23,SUB,0.759090909,1.03125,0,1,0,6.6,6.4,0.230587459,7.526128265
24,SUB,0.810447761,1.080645161,16,0,0,6.7,6.2,0.442070266,33.5921215
25,SUB,0.600284495,1.115873016,19,5,0,7.03,6.3,-0.030858338,21.41127853
26,SUB,0.629032258,1.016393443,0,13,0,6.2,6.1,0.304671711,21.66174837
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,DOM,0.764607679,1.032758621,16,0,11,5.99,5.8,-0.318371328,41.04782351
29,DOM,1.063369397,0.995384615,24,1,0,6.47,6.5,0.190657324,21.05786551
30,DOM,0.772413793,,33,0,0,5.8,NA,0.128148122,35.45423403
31,DOM,0.756559767,1.124590164,21,0,0,6.86,6.1,-0.033420804,55.00780471
32,SUB,0.735690236,0.973770492,8,1,0,5.94,6.1,-0.106152132,12.75250783
33,SUB,0.549586777,0.806666667,2,18,0,4.84,6,0.21929095,2.661460214
34,SUB,1.12406015,0.844444444,0,9,0,5.32,6.3,NA,13.07749396
35,SUB,0.896449704,1.05625,15,2,0,6.76,6.4,-0.391157821,9.858577757
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,DOM,0.877241379,1.1328125,34,3,9,7.25,6.4,0.070501089,23.94303072
38,DOM,0.794701987,1.198412698,1,2,0,7.55,6.3,-0.075922266,12.20182129
39,DOM,1.006339144,0.9859375,24,0,0,6.31,6.4,-0.337431529,19.24805
40,DOM,1.036414566,1.115625,13,2,0,7.14,6.4,0.105058691,25.43435984
41,SUB,0.616129032,1.016393443,0,10,0,6.2,6.1,0.149288287,1.174905674
42,SUB,0.275071633,1.073846154,0,10,0,6.98,6.5,0.319563695,3.797296051
43,SUB,0.923312883,1.034920635,0,1,0,6.52,6.3,0.029628225,3.130528051
44,SUB,0.776337115,1.209803922,0,10,0,6.17,5.1,0.552686587,2.012526056
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,DOM,0.964187328,1.116923077,9,1,4,7.26,6.5,0.136527434,25.39595185
47,DOM,0.767004342,1.031343284,30,0,1,6.91,6.7,-0.320872693,NA
48,DOM,0.160120846,1.018461538,4,0,0,6.62,6.5,-0.498329026,45.70375164
49,SUB,0.730964467,0.968852459,0,0,0,5.91,6.1,NA,0.615524116
50,SUB,0.581755594,0.937096774,0,0,0,5.81,6.2,0.332095534,1.395236562
51,SUB,0.394477318,0.845,1,1,0,5.07,6,0.076368069,14.58862617
52,SUB,0.606118547,0.922398589,0,0,0,5.23,5.67,0.180605428,2.66954832
53,SUB,0.760697306,1.001587302,0,3,0,6.31,6.3,0.657713193,4.284839458
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,DOM,0.450858034,0.986153846,11,0,1,6.41,6.5,0.545643787,10.34510747
56,DOM,0.664345404,1.121875,2,1,0,7.18,6.4,0.529524521,2.691889492
57,DOM,0.640406607,2.127027027,15,0,0,7.87,6.7,0.450750571,8.335554814
58,DOM,0.978461538,1.015625,3,2,0,6.5,6.4,0.277393416,12.08934959
59,SUB,0.655394525,0.985714286,0,0,0,6.21,6.3,0.191359535,7.629438196
60,SUB,0.804123711,0.986440678,0,0,0,5.82,5.9,-0.086707453,4.934340041
61,SUB,1.06710311,1.001639344,0,0,0,6.11,6.1,0.55650657,4.471474974
62,SUB,0.353053435,0.859016393,0,0,0,5.24,6.1,0.436971527,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,DOM,0.701130856,1.031666667,16,0,0,6.19,6,0.200933421,45.23579675
65,DOM,0.868284229,0.977966102,12,0,1,5.77,5.9,0.220180576,22.57546627
66,SUB,0.799283154,0.93,0,0,0,5.58,6,0.05151756,49.38736837
67,DOM,0.761035008,1.042857143,11,0,0,6.57,6.3,-0.23230915,47.58642207
68,DOM,0.884550085,0.95,10,0,3,5.89,6.2,0.181089727,32.78119901
69,SUB,0.707803993,0.933898305,2,0,0,5.51,5.9,0.066507717,9.635896548
70,SUB,0.765625,0.930909091,2,7,0,5.12,5.5,0.120648631,19.2355628
71,SUB,0.852686308,0.994827586,8,1,0,5.77,5.8,0.174394959,20.80685619
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
