focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
bob,bj,0.129032258,male,female,12.28747433,6.080766598
booboo,bj,0,male,female,31.58110883,6.080766598
brandon,bj,0.032258065,male,female,7.58110883,6.080766598
brenda,bj,0.03125,female,female,17.94387406,6.080766598
genny,bj,0.129032258,female,female,16.55578371,6.080766598
gerard,bj,0.032258065,male,female,11.2991102,6.080766598
girly,bj,0.142857143,female,female,31.58110883,6.080766598
goliath,bj,0.090909091,male,female,21.86173854,6.080766598
gonzaga,bj,0.074074074,male,female,5.582477755,6.080766598
ilse,bj,0.133333333,female,female,11.23613963,6.080766598
ingrid,bj,0.068965517,female,female,22.58179329,6.080766598
innocentia,bj,0.032258065,female,female,6.557152635,6.080766598
irene,bj,0,female,female,1.470225873,6.080766598
josephine,bj,0.323529412,female,female,30.58179329,6.080766598
lionel,bj,0.1,male,female,13.58247775,6.080766598
pal,bj,0.166666667,male,female,32.58042437,6.080766598
regina,bj,0.064516129,female,female,7.58110883,6.080766598
renata,bj,0,female,female,16.55578371,6.080766598
rita,bj,0.03125,female,female,30.58179329,6.080766598
rusty,bj,0.09375,male,female,6.798083504,6.080766598
tara,bj,0.090909091,male,female,30.58179329,6.080766598
tobar,bj,0.068965517,male,female,31.58110883,6.080766598
booboo,bob,0.176470588,male,male,31.58110883,12.28747433
brandon,bob,0.0625,male,male,7.58110883,12.28747433
brenda,bob,0.090909091,female,male,17.94387406,12.28747433
genny,bob,0.21875,female,male,16.55578371,12.28747433
gerard,bob,0.125,male,male,11.2991102,12.28747433
girly,bob,0.068965517,female,male,31.58110883,12.28747433
goliath,bob,0.147058824,male,male,21.86173854,12.28747433
gonzaga,bob,0.035714286,male,male,5.582477755,12.28747433
ilse,bob,0.096774194,female,male,11.23613963,12.28747433
ingrid,bob,0,female,male,22.58179329,12.28747433
innocentia,bob,0,female,male,6.557152635,12.28747433
irene,bob,0.058823529,female,male,1.470225873,12.28747433
josephine,bob,0.171428571,female,male,30.58179329,12.28747433
lionel,bob,0.129032258,male,male,13.58247775,12.28747433
pal,bob,0.096774194,male,male,32.58042437,12.28747433
regina,bob,0.09375,female,male,7.58110883,12.28747433
renata,bob,0.125,female,male,16.55578371,12.28747433
rita,bob,0.121212121,female,male,30.58179329,12.28747433
rusty,bob,0.060606061,male,male,6.798083504,12.28747433
tara,bob,0.176470588,male,male,30.58179329,12.28747433
tobar,bob,0.166666667,male,male,31.58110883,12.28747433
brandon,booboo,0.029411765,male,male,7.58110883,31.58110883
brenda,booboo,0.057142857,female,male,17.94387406,31.58110883
genny,booboo,0.235294118,female,male,16.55578371,31.58110883
gerard,booboo,0.088235294,male,male,11.2991102,31.58110883
girly,booboo,0.225806452,female,male,31.58110883,31.58110883
goliath,booboo,0.305555556,male,male,21.86173854,31.58110883
gonzaga,booboo,0.133333333,male,male,5.582477755,31.58110883
ilse,booboo,0.121212121,female,male,11.23613963,31.58110883
ingrid,booboo,0.0625,female,male,22.58179329,31.58110883
innocentia,booboo,0.058823529,female,male,6.557152635,31.58110883
irene,booboo,0.052631579,female,male,1.470225873,31.58110883
josephine,booboo,0.054054054,female,male,30.58179329,31.58110883
lionel,booboo,0.181818182,male,male,13.58247775,31.58110883
pal,booboo,0.242424242,male,male,32.58042437,31.58110883
regina,booboo,0.058823529,female,male,7.58110883,31.58110883
renata,booboo,0,female,male,16.55578371,31.58110883
rita,booboo,0.2,female,male,30.58179329,31.58110883
rusty,booboo,0.142857143,male,male,6.798083504,31.58110883
tara,booboo,0.388888889,male,male,30.58179329,31.58110883
tobar,booboo,0.15625,male,male,31.58110883,31.58110883
brenda,brandon,0.181818182,female,male,17.94387406,7.58110883
genny,brandon,0.0625,female,male,16.55578371,7.58110883
gerard,brandon,0.09375,male,male,11.2991102,7.58110883
girly,brandon,0.103448276,female,male,31.58110883,7.58110883
goliath,brandon,0.088235294,male,male,21.86173854,7.58110883
gonzaga,brandon,0.035714286,male,male,5.582477755,7.58110883
ilse,brandon,0.161290323,female,male,11.23613963,7.58110883
ingrid,brandon,0.1,female,male,22.58179329,7.58110883
innocentia,brandon,0.03125,female,male,6.557152635,7.58110883
irene,brandon,0.058823529,female,male,1.470225873,7.58110883
josephine,brandon,0.028571429,female,male,30.58179329,7.58110883
lionel,brandon,0.064516129,male,male,13.58247775,7.58110883
pal,brandon,0.096774194,male,male,32.58042437,7.58110883
regina,brandon,0.28125,female,male,7.58110883,7.58110883
renata,brandon,0.0625,female,male,16.55578371,7.58110883
rita,brandon,0.060606061,female,male,30.58179329,7.58110883
rusty,brandon,0.090909091,male,male,6.798083504,7.58110883
tara,brandon,0.058823529,male,male,30.58179329,7.58110883
tobar,brandon,0.066666667,male,male,31.58110883,7.58110883
genny,brenda,0.090909091,female,female,16.55578371,17.94387406
gerard,brenda,0.090909091,male,female,11.2991102,17.94387406
girly,brenda,0.166666667,female,female,31.58110883,17.94387406
goliath,brenda,0.085714286,male,female,21.86173854,17.94387406
gonzaga,brenda,0.068965517,male,female,5.582477755,17.94387406
ilse,brenda,0.09375,female,female,11.23613963,17.94387406
ingrid,brenda,0.129032258,female,female,22.58179329,17.94387406
innocentia,brenda,0.181818182,female,female,6.557152635,17.94387406
irene,brenda,0.111111111,female,female,1.470225873,17.94387406
josephine,brenda,0.027777778,female,female,30.58179329,17.94387406
lionel,brenda,0.125,male,female,13.58247775,17.94387406
pal,brenda,0.09375,male,female,32.58042437,17.94387406
regina,brenda,0.363636364,female,female,7.58110883,17.94387406
renata,brenda,0.352941176,female,female,16.55578371,17.94387406
rita,brenda,0.205882353,female,female,30.58179329,17.94387406
rusty,brenda,0.117647059,male,female,6.798083504,17.94387406
tara,brenda,0.114285714,male,female,30.58179329,17.94387406
tobar,brenda,0.064516129,male,female,31.58110883,17.94387406
gerard,genny,0.15625,male,female,11.2991102,16.55578371
girly,genny,0.310344828,female,female,31.58110883,16.55578371
goliath,genny,0.264705882,male,female,21.86173854,16.55578371
gonzaga,genny,0.321428571,male,female,5.582477755,16.55578371
ilse,genny,0.129032258,female,female,11.23613963,16.55578371
ingrid,genny,0.1,female,female,22.58179329,16.55578371
innocentia,genny,0.03125,female,female,6.557152635,16.55578371
irene,genny,0.117647059,female,female,1.470225873,16.55578371
josephine,genny,0.171428571,female,female,30.58179329,16.55578371
lionel,genny,0.096774194,male,female,13.58247775,16.55578371
pal,genny,0.258064516,male,female,32.58042437,16.55578371
regina,genny,0.09375,female,female,7.58110883,16.55578371
renata,genny,0.0625,female,female,16.55578371,16.55578371
rita,genny,0.121212121,female,female,30.58179329,16.55578371
rusty,genny,0.060606061,male,female,6.798083504,16.55578371
tara,genny,0.176470588,male,female,30.58179329,16.55578371
tobar,genny,0.033333333,male,female,31.58110883,16.55578371
girly,gerard,0.137931034,female,male,31.58110883,11.2991102
goliath,gerard,0.147058824,male,male,21.86173854,11.2991102
gonzaga,gerard,0.142857143,male,male,5.582477755,11.2991102
ilse,gerard,0.064516129,female,male,11.23613963,11.2991102
ingrid,gerard,0.1,female,male,22.58179329,11.2991102
innocentia,gerard,0.0625,female,male,6.557152635,11.2991102
irene,gerard,0.117647059,female,male,1.470225873,11.2991102
josephine,gerard,0.057142857,female,male,30.58179329,11.2991102
lionel,gerard,0.129032258,male,male,13.58247775,11.2991102
pal,gerard,0.161290323,male,male,32.58042437,11.2991102
regina,gerard,0.0625,female,male,7.58110883,11.2991102
renata,gerard,0.125,female,male,16.55578371,11.2991102
rita,gerard,0.060606061,female,male,30.58179329,11.2991102
rusty,gerard,0.151515152,male,male,6.798083504,11.2991102
tara,gerard,0.058823529,male,male,30.58179329,11.2991102
tobar,gerard,0,male,male,31.58110883,11.2991102
goliath,girly,0.096774194,male,female,21.86173854,31.58110883
gonzaga,girly,0.2,male,female,5.582477755,31.58110883
ilse,girly,0.107142857,female,female,11.23613963,31.58110883
ingrid,girly,0,female,female,22.58179329,31.58110883
innocentia,girly,0.068965517,female,female,6.557152635,31.58110883
irene,girly,0,female,female,1.470225873,31.58110883
josephine,girly,0.15625,female,female,30.58179329,31.58110883
lionel,girly,0.142857143,male,female,13.58247775,31.58110883
pal,girly,0.178571429,male,female,32.58042437,31.58110883
regina,girly,0.103448276,female,female,7.58110883,31.58110883
renata,girly,0.384615385,female,female,16.55578371,31.58110883
rita,girly,0.133333333,female,female,30.58179329,31.58110883
rusty,girly,0.133333333,male,female,6.798083504,31.58110883
tara,girly,0.193548387,male,female,30.58179329,31.58110883
tobar,girly,0.148148148,male,female,31.58110883,31.58110883
gonzaga,goliath,0.133333333,male,male,5.582477755,21.86173854
ilse,goliath,0.121212121,female,male,11.23613963,21.86173854
ingrid,goliath,0.09375,female,male,22.58179329,21.86173854
innocentia,goliath,0.117647059,female,male,6.557152635,21.86173854
irene,goliath,0.210526316,female,male,1.470225873,21.86173854
josephine,goliath,0.189189189,female,male,30.58179329,21.86173854
lionel,goliath,0.121212121,male,male,13.58247775,21.86173854
pal,goliath,0.272727273,male,male,32.58042437,21.86173854
regina,goliath,0.088235294,female,male,7.58110883,21.86173854
renata,goliath,0.166666667,female,male,16.55578371,21.86173854
rita,goliath,0.142857143,female,male,30.58179329,21.86173854
rusty,goliath,0.085714286,male,male,6.798083504,21.86173854
tara,goliath,0.333333333,male,male,30.58179329,21.86173854
tobar,goliath,0.125,male,male,31.58110883,21.86173854
ilse,gonzaga,0.111111111,female,male,11.23613963,5.582477755
ingrid,gonzaga,0.076923077,female,male,22.58179329,5.582477755
innocentia,gonzaga,0.035714286,female,male,6.557152635,5.582477755
irene,gonzaga,0,female,male,1.470225873,5.582477755
josephine,gonzaga,0.064516129,female,male,30.58179329,5.582477755
lionel,gonzaga,0.074074074,male,male,13.58247775,5.582477755
pal,gonzaga,0.111111111,male,male,32.58042437,5.582477755
regina,gonzaga,0.071428571,female,male,7.58110883,5.582477755
renata,gonzaga,0.083333333,female,male,16.55578371,5.582477755
rita,gonzaga,0.103448276,female,male,30.58179329,5.582477755
rusty,gonzaga,0.103448276,male,male,6.798083504,5.582477755
tara,gonzaga,0.1,male,male,30.58179329,5.582477755
tobar,gonzaga,0.038461538,male,male,31.58110883,5.582477755
ingrid,ilse,0.517241379,female,female,22.58179329,11.23613963
innocentia,ilse,0.258064516,female,female,6.557152635,11.23613963
irene,ilse,0.6875,female,female,1.470225873,11.23613963
josephine,ilse,0.088235294,female,female,30.58179329,11.23613963
lionel,ilse,0.066666667,male,female,13.58247775,11.23613963
pal,ilse,0.1,male,female,32.58042437,11.23613963
regina,ilse,0.193548387,female,female,7.58110883,11.23613963
renata,ilse,0.266666667,female,female,16.55578371,11.23613963
rita,ilse,0.1875,female,female,30.58179329,11.23613963
rusty,ilse,0.28125,male,female,6.798083504,11.23613963
tara,ilse,0.181818182,male,female,30.58179329,11.23613963
tobar,ilse,0.068965517,male,female,31.58110883,11.23613963
innocentia,ingrid,0.166666667,female,female,6.557152635,22.58179329
irene,ingrid,0.333333333,female,female,1.470225873,22.58179329
josephine,ingrid,0.03030303,female,female,30.58179329,22.58179329
lionel,ingrid,0.068965517,male,female,13.58247775,22.58179329
pal,ingrid,0.172413793,male,female,32.58042437,22.58179329
regina,ingrid,0.133333333,female,female,7.58110883,22.58179329
renata,ingrid,0.214285714,female,female,16.55578371,22.58179329
rita,ingrid,0.258064516,female,female,30.58179329,22.58179329
rusty,ingrid,0.193548387,male,female,6.798083504,22.58179329
tara,ingrid,0.1875,male,female,30.58179329,22.58179329
tobar,ingrid,0.035714286,male,female,31.58110883,22.58179329
irene,innocentia,0.176470588,female,female,1.470225873,6.557152635
josephine,innocentia,0.057142857,female,female,30.58179329,6.557152635
lionel,innocentia,0,male,female,13.58247775,6.557152635
pal,innocentia,0.161290323,male,female,32.58042437,6.557152635
regina,innocentia,0.125,female,female,7.58110883,6.557152635
renata,innocentia,0,female,female,16.55578371,6.557152635
rita,innocentia,0.090909091,female,female,30.58179329,6.557152635
rusty,innocentia,0,male,female,6.798083504,6.557152635
tara,innocentia,0.088235294,male,female,30.58179329,6.557152635
tobar,innocentia,0,male,female,31.58110883,6.557152635
josephine,irene,0.05,female,female,30.58179329,1.470225873
lionel,irene,0.0625,male,female,13.58247775,1.470225873
pal,irene,0.25,male,female,32.58042437,1.470225873
regina,irene,0.352941176,female,female,7.58110883,1.470225873
renata,irene,1,female,female,16.55578371,1.470225873
rita,irene,0.166666667,female,female,30.58179329,1.470225873
rusty,irene,0.055555556,male,female,6.798083504,1.470225873
tara,irene,0.157894737,male,female,30.58179329,1.470225873
tobar,irene,0.066666667,male,female,31.58110883,1.470225873
lionel,josephine,0.117647059,male,female,13.58247775,30.58179329
pal,josephine,0.117647059,male,female,32.58042437,30.58179329
regina,josephine,0.114285714,female,female,7.58110883,30.58179329
renata,josephine,0.157894737,female,female,16.55578371,30.58179329
rita,josephine,0.111111111,female,female,30.58179329,30.58179329
rusty,josephine,0.111111111,male,female,6.798083504,30.58179329
tara,josephine,0.108108108,male,female,30.58179329,30.58179329
tobar,josephine,0.03030303,male,female,31.58110883,30.58179329
pal,lionel,0.133333333,male,male,32.58042437,13.58247775
regina,lionel,0.032258065,female,male,7.58110883,13.58247775
renata,lionel,0.133333333,female,male,16.55578371,13.58247775
rita,lionel,0.0625,female,male,30.58179329,13.58247775
rusty,lionel,0.0625,male,male,6.798083504,13.58247775
tara,lionel,0.272727273,male,male,30.58179329,13.58247775
tobar,lionel,0.137931034,male,male,31.58110883,13.58247775
regina,pal,0.096774194,female,male,7.58110883,32.58042437
renata,pal,0.2,female,male,16.55578371,32.58042437
rita,pal,0.21875,female,male,30.58179329,32.58042437
rusty,pal,0.21875,male,male,6.798083504,32.58042437
tara,pal,0.333333333,male,male,30.58179329,32.58042437
tobar,pal,0.206896552,male,male,31.58110883,32.58042437
renata,regina,0.375,female,female,16.55578371,7.58110883
rita,regina,0.333333333,female,female,30.58179329,7.58110883
rusty,regina,0.333333333,male,female,6.798083504,7.58110883
tara,regina,0.029411765,male,female,30.58179329,7.58110883
tobar,regina,0.066666667,male,female,31.58110883,7.58110883
rita,renata,0.058823529,female,female,30.58179329,16.55578371
rusty,renata,0.176470588,male,female,6.798083504,16.55578371
tara,renata,0.055555556,male,female,30.58179329,16.55578371
tobar,renata,0,male,female,31.58110883,16.55578371
rusty,rita,0.323529412,male,female,6.798083504,30.58179329
tara,rita,0.2,male,female,30.58179329,30.58179329
tobar,rita,0.064516129,male,female,31.58110883,30.58179329
tara,rusty,0.142857143,male,male,30.58179329,6.798083504
tobar,rusty,0,male,male,31.58110883,6.798083504
tobar,tara,0.28125,male,male,31.58110883,30.58179329
charity,carol,0.131578947,female,female,5.582477755,16.65160849
claire,carol,0.081081081,female,female,11.21423682,16.65160849
coco,carol,0.162162162,female,female,28.58042437,16.65160849
daisy,carol,0.025,female,female,8.788501027,16.65160849
darwin,carol,0,male,female,6.581793292,16.65160849
david,carol,0,male,female,11.88501027,16.65160849
debbie,carol,0.051282051,female,female,11.6386037,16.65160849
diana,carol,0,female,female,22.58179329,16.65160849
diz,carol,0.024390244,female,female,5.804243669,16.65160849
dolly,carol,0.078947368,female,female,16.75838467,16.65160849
donna,carol,0.025641026,female,female,29.58247775,16.65160849
dora,carol,0.025,female,female,24.58042437,16.65160849
doug,carol,0.025,male,female,10.53251198,16.65160849
littlejane,carol,0.108108108,female,female,28.58042437,16.65160849
littlejenkins,carol,0.025641026,female,female,6.579055441,16.65160849
littlejudy,carol,0.153846154,female,female,18.58179329,16.65160849
longjohn,carol,0.12195122,male,female,7.58110883,16.65160849
maggie,carol,0.078947368,female,female,27.58110883,16.65160849
mary,carol,0.025641026,female,female,7.906913073,16.65160849
masya,carol,0,female,female,22.58179329,16.65160849
max,carol,0.026315789,male,female,6.924024641,16.65160849
maxine,carol,0.051282051,female,female,12.20260096,16.65160849
mike,carol,0.024390244,male,female,15.58110883,16.65160849
misha,carol,0.131578947,female,female,25.58247775,16.65160849
moyo,carol,0.052631579,male,female,5.963039014,16.65160849
nikkie,carol,0.048780488,female,female,15.69336071,16.65160849
nina,carol,0.05,female,female,10.36550308,16.65160849
noel,carol,0.146341463,female,female,36.58042437,16.65160849
pan,carol,0,male,female,24.58042437,16.65160849
pippa,carol,0.025,female,female,24.58042437,16.65160849
taylor,carol,0,female,female,8.873374401,16.65160849
tess,carol,0.026315789,female,female,15.58110883,16.65160849
tilly,carol,0.025641026,female,female,12.5174538,16.65160849
toni,carol,0.052631579,female,female,10.58179329,16.65160849
trixie,carol,0.027777778,female,female,23.58110883,16.65160849
violet,carol,0.024390244,female,female,22.58179329,16.65160849
vis,carol,0,male,female,9.32238193,16.65160849
zsabu,carol,0.05,male,female,23.58110883,16.65160849
claire,charity,0.108108108,female,female,11.21423682,5.582477755
coco,charity,0.108108108,female,female,28.58042437,5.582477755
daisy,charity,0.025,female,female,8.788501027,5.582477755
darwin,charity,0.025,male,female,6.581793292,5.582477755
david,charity,0,male,female,11.88501027,5.582477755
debbie,charity,0.051282051,female,female,11.6386037,5.582477755
diana,charity,0.05,female,female,22.58179329,5.582477755
diz,charity,0.097560976,female,female,5.804243669,5.582477755
dolly,charity,0.105263158,female,female,16.75838467,5.582477755
donna,charity,0.102564103,female,female,29.58247775,5.582477755
dora,charity,0.025,female,female,24.58042437,5.582477755
doug,charity,0.05,male,female,10.53251198,5.582477755
littlejane,charity,0.081081081,female,female,28.58042437,5.582477755
littlejenkins,charity,0.102564103,female,female,6.579055441,5.582477755
littlejudy,charity,0.128205128,female,female,18.58179329,5.582477755
longjohn,charity,0.097560976,male,female,7.58110883,5.582477755
maggie,charity,0.078947368,female,female,27.58110883,5.582477755
mary,charity,0.128205128,female,female,7.906913073,5.582477755
masya,charity,0.025641026,female,female,22.58179329,5.582477755
max,charity,0.105263158,male,female,6.924024641,5.582477755
maxine,charity,0.051282051,female,female,12.20260096,5.582477755
mike,charity,0.024390244,male,female,15.58110883,5.582477755
misha,charity,0.105263158,female,female,25.58247775,5.582477755
moyo,charity,0.105263158,male,female,5.963039014,5.582477755
nikkie,charity,0.097560976,female,female,15.69336071,5.582477755
nina,charity,0.1,female,female,10.36550308,5.582477755
noel,charity,0.12195122,female,female,36.58042437,5.582477755
pan,charity,0.076923077,male,female,24.58042437,5.582477755
pippa,charity,0,female,female,24.58042437,5.582477755
taylor,charity,0.076923077,female,female,8.873374401,5.582477755
tess,charity,0.026315789,female,female,15.58110883,5.582477755
tilly,charity,0.051282051,female,female,12.5174538,5.582477755
toni,charity,0.078947368,female,female,10.58179329,5.582477755
trixie,charity,0.027777778,female,female,23.58110883,5.582477755
violet,charity,0.073170732,female,female,22.58179329,5.582477755
vis,charity,0.097560976,male,female,9.32238193,5.582477755
zsabu,charity,0.125,male,female,23.58110883,5.582477755
coco,claire,0.111111111,female,female,28.58042437,11.21423682
daisy,claire,0.051282051,female,female,8.788501027,11.21423682
darwin,claire,0.025641026,male,female,6.581793292,11.21423682
